Intitulé du poste,Date de publication,lieu,competences,Type de poste
['\nData Analyst - Publicité\n'],"
postée il y a 21 jours
",['\nParis\n'],"['\nsql\n', '\nt-sql\n', '\noutils\n']","['\n', '\n', 'Sept Lieues SAS', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['Data analyst - H/F\n'],"
postée il y a 1 mois
","['\nParis, La Défense\n']","['\nsupport\n', '\noutils\n', '\nagile\n', '\ndesign\n', '\nbig data\n']","['\n', '\n', 'EDF France', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Customer Data Analyst (H/F)\n'],"
postée il y a 27 jours
",['\nParis\n'],"['\ncrm\n', '\ndata quality\n', '\nsql\n', '\nsas\n', '\npython\n']","['\n', '\n', 'Hermès', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Master Data Analyst H/F\n'],"
postée il y a 21 jours
",['\nMoussy-le-Vieux\n'],"['\nsi\n', '\nsupport\n', '\nsap\n']","['\n', '\n', 'TEREOS', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Portfolio Data Analyst H/F\n'],"
postée il y a 3 jours
",['\nFrance\n'],"['\noutils\n', '\nsupport\n', '\ndecisionnel\n', '\nsql\n', '\ntest\n']","['\n', '\n', 'Safran-Group', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Data Analyst BO/Qlick Sense (h/f)\n'],"
postée il y a 15 jours
","['\nMaisons Alfort\n', '\n45.000,00 € - 50.000,00 € / an\n']","['\nsupport\n', '\nsql\n', '\ndata management\n', '\nbusiness objects\n', '\nt-sql\n']","['\n', '\n', 'FED IT', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDD/Intérim - temps plein\n']"
['Product Data Analyst - BI - H/F\n'],"
postée il y a 28 jours
",['\nParis\n'],"['\ncloud\n', '\npaas\n', '\nqlik\n', '\niaas\n', '\nsupport\n']","['\n', '\n', 'Cegid', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Data Analyst / Chef de Projet BI (h/f)\n'],"
postée il y a 1 mois
","['\nPARIS\n', '\n60.000,00 € - 62.000,00 € / an\n']","['\ndata management\n', '\nbusiness intelligence\n', '\nbases de données\n']","['\n', '\n', 'FED IT', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['Business analyst senior DATA CRM - Paris H/F\n'],"
postée il y a 12 heures
",['\nParis\n'],"['\ncrm\n', '\nagile\n', '\ndecisionnel\n', '\nréseaux\n', '\nréseau\n']","['\n', '\n', 'Credit Agricole', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Data scientist / Analyst and software development F/H\n'],"
postée il y a 13 jours
",['\nRueil-Malmaison\n'],"['\nbig data\n', '\nscrum\n', '\nintelligence artificielle\n', '\nelectronique\n', '\nmaintenance\n']","['\n', '\n', 'Vinci', '\n', 'Client final', '\n', '\n', '\nStage\n']"
['Data Analyst (H/F) – Mobile Gaming - Gaminho\n'],"
postée il y a 13 jours
",['\nParis\n'],"['\nmobile\n', '\nmarketing\n', '\noutils\n', '\nt-sql\n', '\nsql\n']","['\n', '\n', 'Paris&Co', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Responsable Analyses et Data Relation Clients Assurances Dommages-(H/F)\n'],"
postée il y a 14 jours
",['\nLa Defense\n'],"['\nsas\n', '\ntéléphonie\n', '\nserveur\n', '\ncommunication\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nDATA INGENIEUR F/H\n'],"
postée il y a 3 jours
",['\nSuresnes\n'],"['\ndigital\n', '\noutils\n', '\ncloud\n', '\nwebmarketing\n', '\nmarketing\n']","['\n', '\n', 'Fyte', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['Alternant - Data Analyst - statistiques prédictiveset connaissance client (H/F)\n'],"
postée il y a 14 jours
",['\nSaint-Ouen\n'],"['\noutils\n', '\nmarketing\n', '\ndigital\n', '\nmachine learning\n', '\npython\n']","['\n', '\n', 'Groupe ENGIE', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Data Scientist - CDI\n'],"
postée il y a 28 jours
","['\nRUEIL MALMAISON\n', '\n60.000,00 € - 65.000,00 € / an\n']","['\nmarketing\n', '\ndata management\n', '\nsupport\n']","['\n', '\n', 'FED IT', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur MCO CyberSOC F/H\n'],"
postée il y a 9 jours
",['\nPuteaux\n'],"['\nsécurité\n', '\nsecurité\n', '\nsi\n', '\nréseau\n', '\noutils\n']","['\n', '\n', 'I-Tracing', '\n', 'Cabinet de conseil', '\n', '\n', '\nCDI - temps plein\n']"
